,Accuracy,code_runs_perc,code_runs_acc,model,execmode,prompt,icl
model=command-r-plus_execmode=trace_prompt=standard_icl=2_output.json,0.0,0.9596928982725528,0.0,command-r-plus,trace,standard,2
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=2_output.json,0.0,0.989443378119002,0.0,gpt-3.5-turbo,trace,standard,2
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=8_output.json,0.0,0.5614203454894434,0.0,gpt-3.5-turbo,trace,standard,8
model=command-r-plus_execmode=trace_prompt=standard_icl=6_output.json,0.0,0.9731285988483686,0.0,command-r-plus,trace,standard,6
model=command-r_execmode=trace_prompt=standard_icl=6_output.json,0.0,0.9731285988483686,0.0,command-r,trace,standard,6
model=command-r_execmode=trace_prompt=standard_icl=8_output.json,0.0,0.946257197696737,0.0,command-r,trace,standard,8
model=command-r-plus_execmode=trace_prompt=standard_icl=4_output.json,0.0,0.9731285988483686,0.0,command-r-plus,trace,standard,4
model=command-r_execmode=trace_prompt=standard_icl=2_output.json,0.0,0.9788867562380038,0.0,command-r,trace,standard,2
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=6_output.json,0.0,0.7293666026871402,0.0,gpt-3.5-turbo,trace,standard,6
model=command-r_execmode=trace_prompt=standard_icl=4_output.json,0.0,0.9779270633397313,0.0,command-r,trace,standard,4
model=command-r-plus_execmode=trace_prompt=standard_icl=8_output.json,0.0,0.9769673704414588,0.0,command-r-plus,trace,standard,8
model=gpt-3.5-turbo_execmode=trace_prompt=standard_icl=4_output.json,0.0,0.9213051823416507,0.0,gpt-3.5-turbo,trace,standard,4
